frame_id,t_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf
0206,6874,-1.09,0.13,4.13,3.96,1.09,0.15,0.78
0207,6907,-1.09,0.13,4.13,3.96,1.09,0.15,0.78
0208,6940,-1.09,0.13,4.13,3.96,1.09,0.15,0.78
0209,6974,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0210,7007,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0211,7040,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0212,7074,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0213,7107,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0214,7140,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
0215,7174,-1.09,0.13,4.13,3.96,1.09,0.15,0.79
